"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2020-11-01","Western Sydney (Londonderry)","956000007364060","Ellie (Western Sydney)","2026-01-31","FEMALE","","Introducing Sweet little Ellie! Ellie can be a little shy at first with new people, but with some patience and love you will soon see her affectionate and goofy playful sides come out! Ellie love her treats and her toys and we have found it to be a super rewarding experience to win her over! She may even delight you with her spontaneous joyful zoomies (that last approximately 7 seconds before she needs a nap). Ellie would suit a relaxed and laid back home and lifestyle and would love a backyard or courtyard to call her own. She is happy to share her home with another medium-large dog, or could spend a few hours chilling alone during the day as a single dog. Older, respectful kids/teens are suitable, provided they can give Ellie space when she needs a break. If you think you can give Ellie the loving home she deserves, apply online today to adopt this sweet girl!","ellie-12",""
"2021-09-01","Western Sydney (Londonderry)","956000011552295","Sam (Western Sydney)","2026-01-31","MALE","","*I'm in foster care -read my update below!* He loves to play with his toys, he will spontaneously launch into little play sessions, rooting around in his toy box to see what takes his fancy, spinning around and flinging things in the air! He is as good as gold in the house. He takes himself outside when he needs to during the day, and we rarely hear a peep out of him overnight. He seems quite happy to be left for several hours at a time when everyone's out, on a few occasions he's spent 8-10 hours home alone. No chewing or damage to anything when we get home. He is pretty mellow and snoozy for much of the day when left to his own devices. He's shown no interest in getting on our beds or sofas, he's content with his own bed and a nice rug. He loves his walks He loves people and is very affectionate and generous with his kisses! I think in a perfect world Sam would love a garden he could zoomie around in, or the opportunity to stretch his legs in a safe off-leash environment. He is a smart, inquisitive, entertaining and friendly boy, and very easy to love"" ----- Looking for a fun-loving, people-obsessed companion? Sam the greyhound is your guy! 🐾 With his playful personality and endless enthusiasm, he’s ready to steal your heart and bring joy to every adventure. Sam is a total people pleaser, always eager for his human's attention and affection. He’s incredibly social and loves to be around his people, making him the perfect companion for anyone looking for a friendly, outgoing dog. Sam is also pro when it comes to car rides—he loves hopping in for a fun adventure and travels like a champ. Whether it’s exploring new environments or playing with his favorite toys, Sam is always up for the next exciting thing! He’s also a big fan of walks, where his playful, excitable personality shines. Sam is suitbale for living with other dogs around his size and would also be happy to share his home with older kids. If you’re looking for a fun, loving, and energetic pup to share your life with, Sam is your guy! 🐕💙 Contact the Western Sydney team to meet Sam today!","sam-10",""
"2020-02-01","Western Sydney (Londonderry)","956000007834599","Mindy","2026-01-31","FEMALE","","*I've just gone to foster care!* Mindy is a little shy at first, but with a chance to warm up, she'll be showing you her goofy side in no time! Full time or part time workers may work for Mindy, she will just need a chance to build up to longer hours alone. Mindy would best suit a quiet home, with adults or older children to ease her into pet life. Although Mindy has been appropriate during her interactions with other dogs of all sizes, she would prefer to be the only dog in her new home, so she can have all the love to herself. Mindy loves a treat and has proven to be a real smarty pants, learning ""down"", ""touch"" and ""shake"" on cue! She has shown to settle well when left alone and while indoors, but would prefer a home with a yard or courtyard to have a play or a snooze. Come down and meet Mindy at Western Sydney!","mindy-2",""
"2023-02-01","Western Sydney (Londonderry)","956000014914658","Romeo","2026-01-31","MALE","","*Romeo is in a foster care home in the Inner West* Foster Update: Romeo is super happy, affectionate and playful pup (no resource guarding or sleep startle observed). He is quite confident and outgoing at home. When he’s asleep he is angelic and when he is awake, he is effervescent. He has settled in quickly, he knows where his beds are and has a sleep bed and a play bed, he figured out very quickly where his toys live and how to dig the goat horn his favourite toy out of the basket. Romeo is a quick learner and has now mastered indoor and outdoor steps. He is responding to his name most of the time. His playful antics make us laugh to no end. He is happy to pass dogs on a footpath without much notice. Favourite things about him: His beautiful soulful eyes, his stunning looks, his mischievous personality, his independence and his affectionate behaviour. *Romeo is available from the Western Sydney adoption centre via appointment with his foster carer*","romeo-1",""
"2021-06-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000007467462","Bucket","2026-01-31","FEMALE","","This pretty girl is great sharing her space with other hounds, she is playful and fun, she likes toys. She lives in an area surrounded by native and farm animals.","bucket-1",""
"2019-08-01","Western Sydney (Londonderry)","956000011151238","Snippy","2026-01-31","MALE","","Snippy is a relaxed, friendly, easy-going gentleman, who’s not jumpy and a dream on the lead. He’s super social, affectionate, and loves spending time with people - he just adores the grandkids aged 6 and up! Snippy’s happy nature makes him an excellent pet - he LOVES to lean on you and get cuddles, which we just love! He’s great with other calm natured greys, and would prefer shorter hours alone as a solo pet. He loves his daily walks, swimming adventures, and is very food-motivated making him a breeze to train. He’d thrive in a home with someone who has time to hang out with him and has a nice quiet backyard for him to chill out in. Snippy has mastered stairs so a home with some steps is A-O-K! This friendly fella is at the Western Sydney adoption centre.","snippy",""
"2020-09-01","Western Sydney (Londonderry)","956000007466793","Ryan","2026-01-31","MALE","","Ryan has just come back from a foster care home over Christmas — keep reading to find out why his foster carer loved him so much! ""Ryan is a sweet, gentle soul with the calmest nature you’ll ever meet. He loves lounging near you quietly, always happy to just be in your presence. He walks beautifully on the lead, gets along well with people, and has such expressive eyes that tell you exactly how he’s feeling. He’s low-maintenance, clean, and well-behaved around the house. He enjoys short walks and long naps, and has a soft spot for comfy bedding and gentle pats. While I’ve come to care for him deeply, I’ve realised I’m not quite ready for a dog at this stage. Ryan deserves a home where he can be someone’s forever companion. He’ll make an incredible addition to any calm, loving household."" Ryan would suit a full-time working family, with a backyard. He is outgoing and friendly with people, loves treats and would also suit a home with another medium-large canine companion. Ryan loves his walks around the adoption centre (pictured!) — and did we mention he’s super smart? 🐾 He already knows “on your bed,” “down,” and “shake,” among plenty of other tricks he’s learned in pet training. Ryan’s waiting for his new best friends to pick him up at the Western Sydney Adoption Centre — could that be you?","ryan",""
"2022-07-01","Western Sydney (Londonderry)","956000014813741","Stavros","2026-01-31","MALE","","*Stavros is living in foster care with another dog!* Stavros is a beautiful boy that’s full of love and life! He has spent the last few months in a foster care home with 6 other dogs. Stavros would be best suited to a home with 1 other doggie friend. 6 was fun, but he's about quality, not quantity! If Stavros lives as your only dog, you can go off to work during the day and he'll be happy on his own for full time hours. Stavros is fond of a run around and play time but also loves giving and receiving lots of affection. An adults only home is the best fit for this gentle giant. He has a playful side and loves to have fun! Stavros would be a great addition to an apartment home (with lift access - no stairs) with an active lifestyle, or a house with a yard.","stavros",""
"2018-09-01","Western Sydney (Londonderry)","956000009417122","Lou","2026-01-31","MALE","","If you're looking for a friendly and outgoing companion, check out Lou! Lou has recently spent time in foster care where he mastered going to markets and meeting all the stall holders. Lou is a sweet, people-focused boy who enjoys routine, gentle companionship, and having his humans within eyesight. He walks beautifully on lead, took inner-city living in stride during foster care, and happily relaxed at cafés, pubs, and markets. He’s polite with other dogs on walks, enjoys calm play with other greyhounds, and absolutely adores squeaky toys and fetch. Lou is independent but affectionate, active in the mornings, and a cosy snoozer by evening when he has a comfortable spot to unwind. He will do best in a house with yard access, as smaller apartments made it difficult for him to fully settle and find his own space. When sharing a home with a medium–large dog, he benefits from structure around resting places and clear routines to keep everyone comfortable. Lou is a loving, joyful companion who thrives when given room to relax, predictable guidance, and a household that enjoys his mix of active playtime and peaceful downtime. Read below to see what Lou's foster carers had to say about him! ""Lou is a beautiful boy with a lot of love to give. He walks very very well on the lead, ignores most birds and bush turkeys. He is not very interested in saying hi to other dogs and will respectfully walk straight past them. He loves squeaky toys with a passion and plays fetch with them with so much joy. He is a master of stairs. He would benefit from living in a house with a backyard, as our small apartment was a bit tight for him (he likes a safe space). In saying that he still wants to be within eyesight of you. He’s an independent but people loving doggie. He would benefit from an active owner - he is full of beans and loves longer walks and play time. He is most active in the mornings and is up for cuddles and play time, in the evening he likes to curl up and snooze independently."" Apply now to meet Lou from our Western Sydney program.","lou-5",""
"2024-04-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000015538946","Sal","2026-01-31","FEMALE","","Meet Sal 💕She is a beautiful-natured, sweet, friendly, and easy-going young girl who’s ready to find her forever home. She loves a run around the yard with her fox terrier friends, then is perfectly content to relax and enjoy some rest time. Sal has been swimming in the pool and splashing in her shell pool in the heat, and she’s also very comfortable around parrots and other aviary birds in her backyard. Sal enjoys being around her people and loves lying in the laundry or heading inside whenever she gets the chance. She’s well-socialised and used to children of all ages, including little ones as young as 3, as well as older kids and teens, small dogs, other greys and also cats. Sal would suit a family home or any household where someone has the time to spend with her and help her happy, loving nature continue to shine. Sal will male a wonderful family pet or a loyal companion who simply loves being part of everyday life. 🐾💖","sal-23",""
"2020-02-01","Hunter Valley Mid Coast (Maitland/ Muswellbrook/Newcastle/Forster)","956000007828530","Yukey","2026-01-31","FEMALE","","Meet Yukey! 🐶💖 Yukey is a sweet and playful girl with a heart full of love and sunshine! Yukey walks beautifully on the lead and enjoys playtime with her toys and doggy friends. She’s equally happy to chill out and watch the world go by, making her a wonderful balance of fun and calm. If you're ready to open your home to a girl full of love, personality, and charm, Yukey is ready to meet you!","yukey",""
